We,are,the,Knights,Who,Say,Ni!
c,-0.06999508304099808,-2.2153682307415887,a,o,-0.6146592710566767,0.7935652848091744
v,-1.201108274088118,-1.5490984201769398,b,f,1.5685873865378857,-0.5097978467848099
p,2.2811506091312963,-1.3021662346277876,w,m,1.4175565214091588,-0.25879255090140196
e,0.7255772963997176,-0.3013940648725349,p,y,1.2158062519468795,1.4231643979948458
w,-0.25013947514237195,1.0012803288312728,u,g,1.0505463024566324,-0.016186618949088294
y,0.21216615770062033,-0.25522862575387417,a,i,-0.047882705208030625,1.3258288533773912
p,0.5506010417604272,-0.22189052344629676,g,a,0.5945089776157747,0.16671570880440612
x,-0.4433659773981596,0.8612691154735314,n,u,1.5503452681541943,-0.3160771907935114
v,0.6887661398568309,-0.9743657618607802,s,k,-0.797776806083924,-0.4711459098592123
w,-0.2860192751569364,0.27808941115706143,c,l,1.3936580837430697,0.9165272286732491
o,0.4957735448447999,0.9714749754184163,t,o,-1.725875709551412,-0.3815688905561978
k,0.6675824071424954,0.1158274073670564,j,j,0.43626256464417285,-0.046765039682666376
m,0.38048456648591183,-0.20287097817333613,a,n,-1.4949935280690538,-0.08932441035075499
e,0.5313735787823356,-0.9749946539524491,n,t,1.3156295918053924,-0.6435556582912346
j,2.153488904435792,-2.1906294483171034,o,q,-0.24635170869152365,1.1534784488690117
a,-0.6332305172829211,-0.9722369674806842,q,a,1.0822986356841449,-0.48937790677513926
g,-1.1679208718603986,-0.10008550537250918,l,m,-1.1346426133206624,0.4257670279279707
c,-0.33462815797410456,-0.6936040412380733,b,b,-1.180562416322577,1.7388270810775637
d,-0.5568915827980198,-1.415642498726544,n,b,-0.4388706812444308,-0.34880349421583934
z,-0.7732847038836573,1.3508449267561462,j,q,-1.668507831376421,1.1139449789681797
q,0.25250197470238167,-0.19877442908646809,c,a,0.022559788014838687,-0.6738562255768406
g,-0.6355996212657523,-0.42271806187038563,i,t,1.1797869819543743,-1.5997234375207257
z,-0.774751056301182,-0.12298137908834919,k,v,-0.17930416683802886,-1.0510174854636425
z,-0.6571380487965645,1.1440548593023028,g,d,1.0491052588201957,0.4047556591860624
h,1.1369406993710793,0.23629413656706852,r,e,1.8086742344032432,-1.5224151940089947
y,1.1652229062081538,-1.2196823677436495,m,l,-0.4039950853242311,1.4655417117384804
t,0.024896998120903336,0.6799644153657636,b,m,0.13171104971457845,-0.6513070728515422
n,-1.834582514527715,0.7203583532434713,k,a,0.783382743044428,-0.332042460791718
x,0.3478220151851735,-0.17805273368452204,r,d,0.076656221281815,0.07534918882154311
s,0.5547999736290445,1.6360686641158464,q,y,-0.2215945191729198,-0.6179758790070764
c,0.39622224162008174,0.4918544625974116,p,s,-1.3418556629425502,-0.25061519113902275
b,1.161223319210191,1.0139473254104767,l,b,0.26632977572333383,0.6422860838837503
d,-0.44603896317779695,1.1791238134313704,d,o,0.4233974292133209,-1.8154948479624091
j,-1.6263592383339371,1.0073337129803592,k,e,0.005462090939814184,-0.8389133913681525
g,1.8910905227640902,0.8367963861805009,a,a,-0.11902791615329743,0.056157575168486046
v,-1.40986337483449,1.6928547639491989,k,x,-0.9846543600828818,-0.26289430507150297
t,1.4213571814333053,1.7669247097428877,p,h,1.2449610811980343,0.23095419809344683
i,1.0021110310726271,0.46069152103511257,w,q,0.37425053489491805,-1.2314243317474474
n,1.7361403483166251,0.18092289624362734,b,k,0.43330694741537223,-1.4143844755748551
