course_id,grade,student_id,grade_date
3,C,1,2011-12-31
2,E,1,2011-12-31
6,C,1,2012-12-31
1,B,1,2012-06-30
3,E,2,2011-06-30
4,E,2,2011-12-31
5,D,2,2012-12-31
6,D,2,2012-06-30
2,E,3,2011-06-30
4,C,3,2011-12-31
6,A,3,2012-06-30
5,D,3,2012-12-31
3,B,3,2011-06-30
1,C,3,2011-12-31
3,E,4,2011-06-30
5,G,4,2012-12-31
2,G,5,2011-06-30
4,E,5,2011-12-31
6,E,5,2012-06-30
3,B,5,2011-06-30
5,B,5,2012-12-31
1,F,5,2011-12-31
4,C,6,2012-12-31
3,D,6,2012-06-30
1,C,7,2011-12-31
3,A,7,2011-06-30
4,G,7,2011-12-31
5,C,7,2012-12-31
6,D,7,2012-06-30
5,B,8,2012-12-31
6,A,8,2012-06-30
