A_0,A_1,A_2,A_3,A_4,A_5,A_6,B_0,B_1,B_2,B_3,B_4,B_5,B_6,C_0,C_1,C_2,C_3,C_4,C_5,C_6,D_0,D_1,D_2,D_3,D_4,D_5,D_6,E_0,E_1,E_2,E_3,E_4,E_5,E_6,customer_id
73,5,9,66,4,67,92,78,94,49,23,1,54,98,1,26,35,22,29,74,93,84,47,40,98,82,76,10,14,89,11,55,40,99,83,0
79,18,80,71,34,1,24,1,12,3,2,69,56,77,49,21,93,7,73,76,18,2,62,3,25,7,72,24,35,58,41,1,35,15,96,2
56,70,0,33,50,65,65,78,35,22,79,54,46,20,30,58,35,42,10,31,5,78,13,24,6,31,53,74,59,33,31,77,39,47,0,2
4,50,5,8,96,79,41,65,98,5,75,86,26,77,38,23,4,31,1,29,55,79,26,15,60,29,91,48,60,27,6,45,13,15,61,2
48,56,69,58,57,33,1,36,82,11,28,21,66,92,83,53,10,94,17,26,82,65,78,24,99,69,8,85,94,86,82,63,30,16,42,0
35,98,57,50,16,49,92,61,90,19,49,74,1,3,46,34,24,14,59,11,8,22,9,91,40,46,52,43,76,67,25,64,96,91,68,0
60,48,99,94,99,33,80,53,31,99,83,11,88,56,86,19,24,48,92,29,78,3,84,48,30,33,9,27,31,57,11,26,18,12,12,3
98,53,4,24,1,11,61,0,48,98,82,15,75,40,97,76,63,45,89,69,83,47,47,85,13,5,31,37,74,95,51,40,37,40,72,1
74,5,76,25,51,11,25,3,79,39,87,77,85,64,49,69,56,7,38,59,0,0,2,21,48,49,5,25,23,95,89,85,6,33,14,1
72,80,30,64,1,77,35,7,89,11,90,99,30,79,22,87,77,94,29,6,99,96,15,58,75,98,20,86,41,92,50,53,2,39,45,1
63,35,30,25,27,55,10,32,18,0,80,83,75,37,76,5,2,88,32,63,7,87,51,50,47,34,56,53,5,9,50,18,83,61,57,3
44,91,76,92,33,36,73,88,14,69,78,39,54,54,87,80,6,93,62,99,26,24,43,9,46,44,94,93,35,79,13,80,50,6,84,1
61,33,25,78,32,86,68,53,3,43,7,73,38,60,53,33,53,89,7,23,90,68,81,5,59,8,68,33,47,91,58,55,31,13,83,4
48,12,32,47,31,81,28,99,26,65,97,32,33,3,71,32,88,80,49,47,44,69,41,22,87,73,37,40,29,59,63,98,46,2,52,4
84,82,90,39,66,73,16,94,44,90,45,18,98,28,44,91,63,18,0,50,80,30,45,29,71,97,33,85,86,25,5,80,34,8,20,0
59,15,32,5,86,29,34,10,12,85,10,67,75,73,18,15,81,12,89,39,32,85,74,93,93,82,97,44,28,40,22,4,92,23,32,4
20,6,63,43,74,3,41,93,65,80,31,67,5,47,60,49,90,24,60,15,85,51,15,76,70,61,9,51,95,7,40,83,92,86,82,1
76,84,25,18,93,94,0,23,69,13,22,73,1,17,57,98,92,26,86,10,64,69,73,10,58,57,60,17,75,22,78,29,12,97,20,1
56,90,79,39,89,38,56,43,54,79,64,62,56,44,29,54,44,67,72,84,33,64,2,66,25,47,93,99,32,96,35,20,13,50,38,2
41,28,53,96,81,46,30,39,74,42,17,25,71,70,95,27,68,48,36,72,84,6,36,4,88,51,30,86,31,66,43,55,80,73,27,3
